2018-06-04T04:49:38,888 [main] INFO  (AbstractContextLoader.java:264) - Could not detect default resource locations for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-06-04T04:49:38,889 [main] INFO  (AnnotationConfigContextLoaderUtils.java:81) - Could not detect default configuration classes for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests]: BlackBoxReloadedApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-06-04T04:49:38,947 [main] INFO  (SpringBootTestContextBootstrapper.java:206) - Found @SpringBootConfiguration com.aptus.blackbox.BlackBoxReloadedApp for test class com.aptus.blackbox.BlackBoxReloadedApplicationTests
2018-06-04T04:49:38,951 [main] INFO  (AbstractTestContextBootstrapper.java:260) - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-06-04T04:49:38,962 [main] INFO  (AbstractTestContextBootstrapper.java:187) - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4e7912d8, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@53976f5c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2bfc268b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2f8dad04, org.springframework.test.context.transaction.TransactionalTestExecutionListener@29e495ff, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@41e1e210, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@be35cd9, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4944252c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@44821a96, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@a3d8174, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1ba9117e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@732c2a62]
2018-06-04T04:49:38,966 [main] INFO  (AbstractTestContextBootstrapper.java:319) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests], using SpringBootContextLoader
2018-06-04T04:49:38,966 [main] INFO  (AbstractContextLoader.java:264) - Could not detect default resource locations for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-06-04T04:49:38,967 [main] INFO  (AnnotationConfigContextLoaderUtils.java:81) - Could not detect default configuration classes for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests]: BlackBoxReloadedApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-06-04T04:49:38,970 [main] INFO  (SpringBootTestContextBootstrapper.java:206) - Found @SpringBootConfiguration com.aptus.blackbox.BlackBoxReloadedApp for test class com.aptus.blackbox.BlackBoxReloadedApplicationTests
2018-06-04T04:49:38,973 [main] INFO  (AbstractTestContextBootstrapper.java:260) - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-06-04T04:49:38,975 [main] INFO  (AbstractTestContextBootstrapper.java:187) - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@483f6d77, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7e5afaa6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@63a12c68, org.springframework.test.context.support.DirtiesContextTestExecutionListener@28f3b248, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1b1426f4, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@32b260fa, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@581ac8a8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6d4e5011, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@57d7f8ca, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@76c3e77a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@78123e82, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@67c33749]
