2018-07-12T18:58:10,767 [main] INFO  (AbstractTestContextBootstrapper.java:319) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests], using SpringBootContextLoader
2018-07-12T18:58:10,778 [main] INFO  (AbstractContextLoader.java:264) - Could not detect default resource locations for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-07-12T18:58:10,779 [main] INFO  (AnnotationConfigContextLoaderUtils.java:81) - Could not detect default configuration classes for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests]: BlackBoxReloadedApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-07-12T18:58:10,840 [main] INFO  (SpringBootTestContextBootstrapper.java:206) - Found @SpringBootConfiguration com.aptus.blackbox.BlackBoxReloadedApp for test class com.aptus.blackbox.BlackBoxReloadedApplicationTests
2018-07-12T18:58:10,844 [main] INFO  (AbstractTestContextBootstrapper.java:260) - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-07-12T18:58:10,857 [main] INFO  (AbstractTestContextBootstrapper.java:187) - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6c130c45, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@50ad3bc1, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@223aa2f7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6d3a388c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@193f604a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@20f5239f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@57af006c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6bedbc4d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@932bc4a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@d29f28, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2fd1433e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@29d89d5d]
2018-07-12T18:58:10,860 [main] INFO  (AbstractTestContextBootstrapper.java:319) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests], using SpringBootContextLoader
2018-07-12T18:58:10,861 [main] INFO  (AbstractContextLoader.java:264) - Could not detect default resource locations for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-07-12T18:58:10,862 [main] INFO  (AnnotationConfigContextLoaderUtils.java:81) - Could not detect default configuration classes for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests]: BlackBoxReloadedApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-07-12T18:58:10,865 [main] INFO  (SpringBootTestContextBootstrapper.java:206) - Found @SpringBootConfiguration com.aptus.blackbox.BlackBoxReloadedApp for test class com.aptus.blackbox.BlackBoxReloadedApplicationTests
2018-07-12T18:58:10,868 [main] INFO  (AbstractTestContextBootstrapper.java:260) - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
