2018-08-08T18:32:12,998 [main] INFO  (AbstractTestContextBootstrapper.java:319) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests], using SpringBootContextLoader
2018-08-08T18:32:13,009 [main] INFO  (AbstractContextLoader.java:264) - Could not detect default resource locations for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-08-08T18:32:13,012 [main] INFO  (AnnotationConfigContextLoaderUtils.java:81) - Could not detect default configuration classes for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests]: BlackBoxReloadedApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-08-08T18:32:13,073 [main] INFO  (SpringBootTestContextBootstrapper.java:206) - Found @SpringBootConfiguration com.aptus.blackbox.BlackBoxReloadedApp for test class com.aptus.blackbox.BlackBoxReloadedApplicationTests
2018-08-08T18:32:13,077 [main] INFO  (AbstractTestContextBootstrapper.java:260) - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-08-08T18:32:13,089 [main] INFO  (AbstractTestContextBootstrapper.java:187) - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@66498326, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@cad498c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1e6454ec, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2accdbb5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@b62d79, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6631f5ca, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5ace1ed4, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1613674b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@27ff5d15, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4e096385, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@649bec2e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@693fe6c9]
2018-08-08T18:32:13,094 [main] INFO  (AbstractTestContextBootstrapper.java:319) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests], using SpringBootContextLoader
2018-08-08T18:32:13,095 [main] INFO  (AbstractContextLoader.java:264) - Could not detect default resource locations for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-08-08T18:32:13,095 [main] INFO  (AnnotationConfigContextLoaderUtils.java:81) - Could not detect default configuration classes for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests]: BlackBoxReloadedApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-08-08T18:32:13,098 [main] INFO  (SpringBootTestContextBootstrapper.java:206) - Found @SpringBootConfiguration com.aptus.blackbox.BlackBoxReloadedApp for test class com.aptus.blackbox.BlackBoxReloadedApplicationTests
2018-08-08T18:32:13,102 [main] INFO  (AbstractTestContextBootstrapper.java:260) - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
